cod_modelo_color,cod_color_code,des_color_specification_esp,des_agrup_color_eng,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename,cod_outfit,image_embedding
57007896-09,09,CAMEL,WHITE,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57007896_09.jpg,[3279],[0.07811972 2.1664386  0.0766512  ... 0.7428644  0.21113005 0.66759753]
47037826-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_47037826_99.jpg,"[3448, 4409, 4963, 5535, 5688, 5711, 2653, 2654]",[0.1518111  0.0317934  0.29434803 ... 0.12887678 0.07555708 0.45835933]
57030028-59,59,PETROLEO,BLUE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Gadgets,Umbrella,datathon/images/2023_57030028_59.jpg,[4419],[0.04906736 0.3991747  0.03903918 ... 0.57112354 0.10952017 0.18478402]
57023725-69,69,MARINO,BLUE,Female,Adult,SHE,P-PLANA,Outerwear,Coats and Parkas,Trenchcoats,Trenchcoat,datathon/images/2023_57023725_69.jpg,[4069],[0.12616128 4.1442738  0.5792631  ... 0.01286439 0.12352441 2.256895  ]
57050305-28,28,TERRACOTA,ORANGE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,datathon/images/2023_57050305_28.jpg,[5710],[0.5897492  0.834984   0.0380349  ... 0.         0.6562718  0.25010142]
57050344-TC,TC,TEJANO CLARO,BLUE,Female,Adult,SHE,J-JEANS,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2023_57050344_TC.jpg,"[5731, 3536]",[0.04036079 2.1998904  0.09158907 ... 0.         0.0166799  1.7350723 ]
57023796-65,65,MORADO,PURPLE,Female,Adult,SHE,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2023_57023796_65.jpg,"[4073, 4523]","[5.2579427e-01 2.2751896e+00 1.0980023e-01 ... 3.6437335e-04 4.3525660e-01
 1.0392798e+00]"
57001100-01,01,BLANCO,WHITE,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57001100_01.jpg,"[5022, 7397, 2758, 5002, 3964, 4953, 3219, 3465, 5279]","[0.0000000e+00 6.9114822e-01 8.3073974e-04 ... 2.6703640e-03 1.2711277e+00
 1.2737738e+00]"
57033807-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57033807_99.jpg,"[3424, 6851, 2905]",[0.00841879 1.9239434  0.01284508 ... 0.         0.6490833  0.76169515]
57064765-30,30,MARRON,BROWN,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Cap,datathon/images/2023_57064765_30.jpg,[6337],[0.08950093 0.03667239 0.05593702 ... 0.         0.03616754 0.01147843]
57005969-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57005969_99.jpg,"[3081, 3023]",[0.08292447 0.02957266 0.5488619  ... 0.04566612 0.1515863  0.5243201 ]
57094024-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57094024_99.jpg,"[7489, 4719, 2781, 3681, 4101, 4102, 4226, 4461, 4532, 4990, 4991, 5692, 6231, 7410, 7535, 5270, 4467, 6259, 4604, 4029, 4694, 4841, 6325, 6331, 6584, 7121]",[0.26590526 0.02253464 0.19217204 ... 0.12440753 0.0600352  0.18191077]
57073809-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57073809_99.jpg,[6676],[0.12826128 1.2960905  0.07911216 ... 0.         0.07009013 0.5304142 ]
57025966-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57025966_99.jpg,[4228],[0.11315551 2.461435   0.27628386 ... 0.59979147 0.12875219 1.4105226 ]
57065971-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Ankle Boots,datathon/images/2023_57065971_99.jpg,"[6432, 6422]",[0.02699295 0.55616874 0.13610576 ... 0.00408372 0.05652976 0.11380506]
57014779-14,14,LIMA,YELLOW,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Shoulder bag,datathon/images/2023_57014779_14.jpg,[3685],[0.60179484 0.16822132 0.8036819  ... 1.022166   0.59317404 0.27494758]
57025974-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Ankle Boots,datathon/images/2023_57025974_99.jpg,"[6579, 4230]",[0.20302053 0.98741436 0.13532077 ... 0.00337635 0.07819273 0.07032669]
57094032-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Crossbody bag,datathon/images/2023_57094032_99.jpg,"[4645, 4681, 7494, 2901, 7688, 5414, 7721, 5906]",[0.13585596 0.1425282  0.11630926 ... 0.         0.40917388 0.18781558]
57095801-35,35,TOPO,BROWN,Female,Adult,SHE,T-TRICOT,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57095801_35.jpg,"[5886, 7592, 5866]",[0.         1.663267   0.0177437  ... 0.52375084 0.04501526 0.05500032]
57061181-56,56,NAVY,BLUE,Female,Adult,SHE,K-CIRCULAR,"Accesories, Swim and Intimate",Swim and intimate,Intimate,Pyjama T-Shirt,datathon/images/2023_57061181_56.jpg,"[6195, 7395]",[0.02534256 4.764173   0.464906   ... 0.3544154  0.02761346 2.4096668 ]
57055147-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_57055147_99.jpg,"[3720, 2834, 3727, 4804, 4681, 5251, 5905, 6291, 6328, 6329, 6704, 7535, 5877, 5969, 5971, 7710, 6320, 6791, 6869, 6588, 3142, 3253, 3721, 4621, 6795, 4771, 5935, 7742, 6831, 3839, 4306, 4100, 6860, 7464, 4593, 6142, 6466, 4309, 4251, 7096, 4132, 3841, 3905, 4304, 5351, 5369, 5416, 5475, 5499, 6132, 6916, 7251, 7470, 7673, 7754, 7802]",[0.24397579 0.13185675 0.65576047 ... 0.23437227 0.07144337 0.6027337 ]
57013814-01,01,BLANCO,WHITE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57013814_01.jpg,"[4705, 3619, 4279, 4623]",[0.         0.836605   0.00459377 ... 0.6529449  0.23223196 0.5001431 ]
57054433-65,65,MORADO,PURPLE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57054433_65.jpg,[5904],[0.28012288 2.867166   0.6278664  ... 0.         0.7350671  0.89167655]
57078274-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Boots,datathon/images/2023_57078274_99.jpg,"[6945, 6909]",[0.06617814 0.04484221 0.03391814 ... 0.08954179 0.07868586 0.13979535]
43057751-08,08,BEIGE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_43057751_08.jpg,[2003],[0.10493494 0.0052458  0.0293626  ... 0.9060183  0.20497824 0.8330818 ]
53080520-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53080520_99.jpg,[2165],[0.2501315  0.5338016  0.05391214 ... 0.599439   0.10533945 0.85850614]
53020589-28,28,TERRACOTA,ORANGE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53020589_28.jpg,"[657, 1222, 531, 2187, 168, 169, 448, 451, 1160, 1211, 2376, 340, 1362, 667, 972, 1206, 1584, 1665]",[0.7283893  0.1703056  0.5119893  ... 0.21517958 2.583616   0.11290202]
53070721-05,05,CRUDO,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2019_53070721_05.jpg,"[1003, 1005, 105, 1817, 1212, 1221, 2002]",[0.03570092 1.856781   0.02424446 ... 1.3865252  0.09271154 0.16110824]
51093025-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,datathon/images/2019_51093025_99.jpg,[523],[0.18382205 0.8380674  0.06590757 ... 1.1418487  0.1890653  0.70700634]
53060583-52,52,AZUL,BLUE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53060583_52.jpg,[1763],[0.03324196 2.1577241  0.0221494  ... 0.47823504 0.08230989 0.70669264]
51050835-74,74,FRESA,RED,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_51050835_74.jpg,"[274, 1983]",[0.         0.12581009 0.34619787 ... 0.36583433 0.22804908 0.9364443 ]
53040940-11,11,AMARILLO PASTEL,YELLOW,Female,Adult,VIOLETA,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53040940_11.jpg,[1259],[0.45576957 0.20393012 0.14093025 ... 0.27696916 0.06816595 0.14591898]
51000949-02,02,OFFWHITE,WHITE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_51000949_02.jpg,[27],[0.61213094 0.9463833  0.37038425 ... 1.462812   0.03577206 0.2420608 ]
53053772-02,02,OFFWHITE,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53053772_02.jpg,"[6568, 1683, 804]",[0.04555026 1.9149566  0.01990131 ... 1.3010734  0.07182508 0.4321477 ]
53025746-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53025746_99.jpg,[1123],[0.04785127 1.5046932  0.09120549 ... 0.40964958 0.11197865 0.2791623 ]
53075739-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53075739_99.jpg,"[2132, 3050]",[0.18452463 3.6684084  0.17620254 ... 0.3849564  0.3126644  1.1261915 ]
53015770-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53015770_99.jpg,[942],[0.23896646 2.0288343  0.12674497 ... 0.33650568 0.13181639 1.5427245 ]
53097677-30,30,MARRON,BROWN,Female,Adult,SHE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53097677_30.jpg,[2550],[0.0142359  1.8473262  0.07452779 ... 0.6798727  0.09566075 0.8086822 ]
57037689-38,38,CAZA,BROWN,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_57037689_38.jpg,"[2150, 3193, 4738, 5455, 7333, 960]",[0.32076207 0.9046225  0.02891085 ... 0.26056215 1.0734489  0.4166457 ]
57015942-99,99,NEGRO,GREY,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_57015942_99.jpg,[3751],[0.28125617 0.8556666  0.00096446 ... 0.25168046 0.24932624 0.47572315]
57078629-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_57078629_99.jpg,[6948],[0.1849137  2.8891962  0.10471705 ... 0.3666876  0.32279217 1.0944871 ]
57007703-05,05,CRUDO,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007703_05.jpg,"[3191, 4290, 6471, 5308, 792]",[0.16680145 1.4940125  0.00643427 ... 0.4615998  0.23318373 0.86160815]
57065913-07,07,ARENA,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57065913_07.jpg,[6397],[0.01371495 2.51187    0.02388632 ... 0.9800932  0.07602341 0.18681574]
67060520-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2020_67060520_99.jpg,[5373],[0.8838362  0.6641774  0.78970414 ... 0.23248877 0.6197439  0.3722211 ]
57069077-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_57069077_99.jpg,[6568],[0.21141967 1.2553846  0.02096121 ... 0.11545744 0.107748   1.3136574 ]
47004031-OR,OR,ORO,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_47004031_OR.jpg,[5771],[0.05695144 0.49020907 0.12541814 ... 0.18226857 1.085003   0.03537132]
47067108-88,88,FUCSIA,PINK,Female,Adult,SHE,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2023_47067108_88.jpg,[4879],[0.4599703  1.0135266  0.07580447 ... 0.         0.73660845 0.49465322]
47076314-PL,PL,PLATA,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_47076314_PL.jpg,"[4227, 4446]",[0.06953429 0.55071855 0.09253512 ... 0.30583456 0.766182   0.19372322]
57050556-05,05,CRUDO,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57050556_05.jpg,"[7208, 5782]",[0.02844988 0.14549516 0.78236806 ... 0.07525007 0.09433863 0.45555955]
57062503-10,10,VAINILLA,YELLOW,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Glasses,Sunglasses,datathon/images/2023_57062503_10.jpg,"[2635, 6199, 2818]",[0.1249129  0.05948326 0.20716763 ... 0.7548867  0.17028075 0.20332621]
47058631-05,05,CRUDO,WHITE,Female,Adult,SHE,T-TRICOT,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_47058631_05.jpg,"[3374, 6203, 4886]",[0.         1.2939167  0.00871059 ... 0.05491529 0.2679474  0.79639167]
57094385-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_57094385_99.jpg,"[6154, 3260, 4851, 2777, 3604, 7505, 3858, 4337, 6586, 2724, 3254, 3259, 3857, 3922, 3926, 4166, 4332, 4799, 4843, 4850, 5098, 5442, 5480, 5485, 6107, 6383, 6484, 6552, 6575, 6873, 6878, 6899, 7242, 7343, 7354, 7748, 7783, 7806]",[0.18403119 0.28959012 0.79941714 ... 0.24477889 0.40999794 0.04365311]
57050181-68,68,MALVA,PURPLE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Crossbody bag,datathon/images/2023_57050181_68.jpg,"[2614, 5760, 4937, 5621, 4442, 4949]","[1.9252401e-02 7.7469520e-02 5.3098524e-04 ... 6.1502171e-01 9.2691854e-02
 1.5551218e-01]"
57000259-02,02,OFFWHITE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Card holder,datathon/images/2023_57000259_02.jpg,"[2636, 4001, 4453, 4455, 4959, 4961]",[0.00982151 0.07784379 0.01458179 ... 0.06331553 0.18853974 0.27842933]
57040296-70,70,ROJO,RED,Female,Adult,SHE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57040296_70.jpg,[4996],[0.203345   1.2682908  0.03228731 ... 0.0052224  0.47273913 0.1399336 ]
57040385-46,46,TURQUESA,BLUE,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_57040385_46.jpg,"[3522, 4010, 4015, 5056, 2639, 5732]",[0.72249955 0.20534302 0.33169433 ... 0.         0.6371391  1.1072212 ]
57063262-02,02,OFFWHITE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Crossbody bag,datathon/images/2023_57063262_02.jpg,"[5972, 7271, 3783, 6236, 6497, 6888, 6742]",[0.08093964 0.14158012 0.38593683 ... 0.45980594 0.76663136 0.15839875]
57032894-TM,TM,TEJANO MEDIO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57032894_TM.jpg,"[5520, 4097, 4521]",[0.06246884 0.81096417 0.         ... 0.         0.73361796 1.5286647 ]
57063799-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57063799_99.jpg,[6245],[0.02598287 3.9277837  0.09999897 ... 0.02175682 0.14514078 1.0641762 ]
57005970-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57005970_99.jpg,[3083],[0.03762678 0.02654316 0.06405231 ... 0.         0.1478181  0.22890829]
57053816-56,56,NAVY,BLUE,Female,Adult,SHE,T-TRICOT,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57053816_56.jpg,"[5848, 6685]",[0.00705612 0.36502734 0.16605684 ... 0.562935   0.01505456 0.00588741]
57016019-92,92,GRIS,GREY,Female,Adult,SHE,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57016019_92.jpg,"[5221, 2999, 3216, 3794, 4639, 6375, 6829, 2998, 3002, 3008, 3009, 3010, 5345, 5957, 5996, 6019, 2957, 3033, 3042, 4689, 3714, 7409]",[0.         1.7131486  0.01780369 ... 0.14421023 0.13687235 0.29701543]
57096023-07,07,ARENA,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57096023_07.jpg,"[4677, 7658]",[0.         3.5862122  0.14937751 ... 0.18943071 0.10646664 0.6165715 ]
57008280-70,70,ROJO,RED,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Shoulder bag,datathon/images/2023_57008280_70.jpg,[6100],[0.01780239 0.2320531  0.00788013 ... 0.46119073 0.49342212 0.27126318]
57029123-73,73,BLOOD,RED,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57029123_73.jpg,[4383],[0.09875901 2.289762   0.02714612 ... 0.30644134 0.8692574  1.5693963 ]
53090543-50,50,CELESTE,BLUE,Male,Adult,HE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_53090543_50.jpg,[954],[0.         0.3910662  0.00203334 ... 1.3526697  0.05614785 0.95048004]
53030603-02,02,OFFWHITE,WHITE,Female,Adult,SHE,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2019_53030603_02.jpg,[1169],[0.04113354 0.9970152  0.31853718 ... 2.3222396  0.1881307  0.68892705]
53030650-56,56,NAVY,BLUE,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53030650_56.jpg,[1181],[0.2468648  4.9353476  0.37954056 ... 1.7278737  0.1004935  1.1555332 ]
51033705-69,69,MARINO,BLUE,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_51033705_69.jpg,"[175, 184, 2224, 373]",[0.65252805 0.5538303  0.01056776 ... 0.5113828  0.3633347  0.6186951 ]
53063709-56,56,NAVY,BLUE,Female,Adult,SHE,L-PIEL,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53063709_56.jpg,"[1650, 1871]",[0.04789146 1.5817527  0.16520019 ... 1.2707009  0.0694539  0.54443127]
53090800-OR,OR,ORO,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_53090800_OR.jpg,"[1549, 1989, 457, 3187, 1897, 2961, 1076]",[0.         0.24795042 0.44469163 ... 0.335605   1.5607158  0.06910972]
53003722-06,06,PIEDRA,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53003722_06.jpg,"[1307, 676, 3166]",[0.00969966 2.853422   0.01947198 ... 1.6335279  0.4414938  0.35325897]
53045716-94,94,GRIS MEDIO VIGORE,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53045716_94.jpg,[1495],[0.0794056  2.6923273  0.00692971 ... 0.4607959  0.14277449 0.840517  ]
51085724-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_51085724_99.jpg,[484],[0.03101397 2.7672203  0.03212582 ... 0.22953992 0.16230899 0.84988284]
51013050-85,85,ROSA,PINK,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_51013050_85.jpg,[57],[0.06428117 2.4568665  0.02273132 ... 1.3899798  0.03969865 0.25876954]
53043786-PL,PL,PLATA,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_53043786_PL.jpg,"[1312, 1930, 2133]",[0.01773286 0.6376852  0.04562929 ... 1.5592443  0.63422734 0.36958638]
53065737-05,05,CRUDO,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53065737_05.jpg,[1929],[0.04699428 1.1759417  0.10844018 ... 1.4365817  0.2069127  0.25547615]
53025771-30,30,MARRON,BROWN,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53025771_30.jpg,"[3175, 6111, 6931, 6356, 2984, 3185]",[0.061885   0.28650376 0.03271012 ... 0.83985734 0.11518669 0.03716267]
53025768-02,02,OFFWHITE,WHITE,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53025768_02.jpg,[1129],[0.17210832 3.2358894  0.6294945  ... 1.4835883  0.23805241 1.4946206 ]
57025903-68,68,MALVA,PURPLE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Purse,datathon/images/2019_57025903_68.jpg,"[7183, 3275, 4196, 7607]",[0.06462339 0.45995995 0.3921874  ... 0.16676286 0.2900981  0.3042884 ]
57035910-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57035910_99.jpg,"[53, 196, 528, 1117, 4733, 4658, 7835, 4745, 962, 2342, 4215]",[0.10016051 2.0524533  0.04147194 ... 0.24059652 0.59077454 1.4385442 ]
57047879-78,78,BURDEOS,RED,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Necklace,datathon/images/2019_57047879_78.jpg,"[5447, 1291]",[0.         0.07257647 0.19958267 ... 1.785926   0.24300915 0.2029471 ]
57087650-49,49,BOTELLA,GREEN,Female,Adult,SHE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57087650_49.jpg,[7253],[0.19875981 3.2168272  0.04875521 ... 0.4448338  0.09406936 1.9640378 ]
57015938-43,43,VERDE,GREEN,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_57015938_43.jpg,[3749],[0.18151937 0.0460534  1.8552722  ... 2.151962   0.8989941  0.64290977]
57064754-56,56,NAVY,BLUE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57064754_56.jpg,[6335],[0.30628207 4.668169   0.2425182  ... 0.5540045  0.31183174 2.0691063 ]
57055930-02,02,OFFWHITE,WHITE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_57055930_02.jpg,[5983],[0.32693484 0.8698957  0.         ... 0.8462856  0.3738098  0.10848849]
57067888-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57067888_99.jpg,[6544],[0.2588693  4.1669173  0.02908829 ... 0.40704098 0.19817589 1.5339103 ]
57047697-70,70,ROJO,RED,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_57047697_70.jpg,[5402],[0.28753722 0.66125804 0.         ... 0.7078163  0.12687187 0.7893376 ]
47013256-TC,TC,TEJANO CLARO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_47013256_TC.jpg,[3442],[0.20173593 2.0403128  0.06487465 ... 0.         0.08025541 1.193871  ]
47084002-01,01,BLANCO,WHITE,Female,Adult,SHE,K-CIRCULAR,"Accesories, Swim and Intimate",Swim and intimate,Swimwear,Bikini top,datathon/images/2023_47084002_01.jpg,"[5674, 3492, 3955, 3462, 3956, 5628, 5629, 5673, 3454, 4985, 4970, 4984, 4415, 3407]",[0.02263512 0.5542037  0.19085549 ... 0.22192742 0.4274533  0.28184658]
47075913-09,09,CAMEL,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Totes bag,datathon/images/2023_47075913_09.jpg,"[4440, 6206]",[0.24538225 0.11545586 0.31281808 ... 0.01015905 0.20014256 0.03155521]
47054020-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Outerwear,Jackets and Blazers,Vest,Vest,datathon/images/2023_47054020_99.jpg,[4940],[0.00397863 3.068588   0.2155911  ... 0.00366953 0.49758568 0.47660428]
47074035-08,08,BEIGE,WHITE,Female,Adult,SHE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_47074035_08.jpg,[5086],[0.         0.5825458  0.12145209 ... 0.02332285 0.83878464 0.53277975]
47054426-PL,PL,PLATA,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2023_47054426_PL.jpg,"[4989, 2820, 6640, 6996, 2816, 5115, 6634]",[0.03780102 0.26754987 0.0149398  ... 0.08169884 0.12046237 0.21935143]
57001030-01,01,BLANCO,WHITE,Female,Adult,SHE,K-CIRCULAR,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57001030_01.jpg,"[2723, 2725]",[0.         3.3561485  0.01793953 ... 0.02366987 0.07191853 0.8960209 ]
